FIPS_STATE,lenderid_Perc,Property_Perc,creditscore_Perc,Amortization_Perc,total
01,0.018080668,0.073713491,0.0472879,0.097357441,719
02,0.037383178,0.115264798,0.130841121,0.165109034,642
04,0.039936102,0.102236422,0.060702875,0.143769968,626
05,0.011217949,0.0625,0.036858974,0.113782051,624
06,0.033910891,0.111633663,0.105940594,0.181683168,4040
08,0.035040431,0.171608266,0.129380054,0.198562444,1113
09,0.031568228,0.120162933,0.119144603,0.245417515,982
10,0.013221154,0.063701923,0.063701923,0.139423077,832
11,0.085714286,0.221428571,0.227142857,0.264285714,700
12,0.023722628,0.075729927,0.087135036,0.136405109,2192
13,0.004960317,0.084325397,0.056547619,0.114087302,1008
15,0.024691358,0.127572016,0.105624143,0.167352538,729
16,0.027027027,0.122416534,0.079491256,0.187599364,629
17,0.030498534,0.103812317,0.096187683,0.189442815,1705
18,0.017361111,0.094907407,0.064814815,0.142361111,864
19,0.010319917,0.093911249,0.095975232,0.160990712,969
20,0.018072289,0.095180723,0.077108434,0.178313253,830
21,0.006864989,0.077803204,0.068649886,0.128146453,874
22,0.008431703,0.050590219,0.062394604,0.111298482,593
23,0.013685239,0.112414467,0.083088954,0.17888563,1023
24,0.029272899,0.099150142,0.109537299,0.202077432,1059
25,0.029768467,0.14553473,0.09261301,0.169790518,907
26,0.017530488,0.09527439,0.099847561,0.179115854,1312
27,0.022428461,0.133023975,0.102088167,0.240525909,1293
28,0.018315018,0.075091575,0.053113553,0.113553114,546
29,0.025059666,0.064439141,0.07875895,0.161097852,838
30,0.030418251,0.157794677,0.077946768,0.133079848,526
31,0.029646522,0.084378563,0.11972634,0.184720639,877
32,0.020879121,0.065934066,0.076923077,0.16043956,910
33,0.030358786,0.106715731,0.084636615,0.219871205,1087
34,0.036224976,0.085795996,0.081029552,0.237368923,1049
35,0.057494867,0.147843943,0.123203285,0.156057495,487
36,0.04015887,0.109443954,0.096204766,0.204324801,2266
37,0.021834061,0.098689956,0.07510917,0.132751092,1145
38,0.012345679,0.101234568,0.072839506,0.213580247,810
39,0.019290604,0.111387679,0.082140635,0.157436217,1607
40,0.025073746,0.075221239,0.061946903,0.116519174,678
41,0.047619048,0.151629073,0.137844612,0.181704261,798
42,0.018292683,0.085365854,0.073780488,0.165853659,1640
44,0.017084282,0.10022779,0.08428246,0.189066059,878
45,0.015402844,0.106635071,0.087677725,0.157582938,844
46,0.010180995,0.095022624,0.067873303,0.165158371,884
47,0.014725569,0.093708166,0.061579652,0.12583668,747
48,0.0173258,0.097551789,0.085499058,0.140112994,2655
49,0.062289562,0.185185185,0.089225589,0.264309764,594
50,0.03307888,0.142493639,0.151399491,0.188295165,786
51,0.034101382,0.100460829,0.105069124,0.148387097,1085
53,0.037924152,0.143712575,0.109780439,0.184630739,1002
54,0.0125,0.04,0.05375,0.10875,800
55,0.011009174,0.125688073,0.097247706,0.211009174,1090
56,0.002717391,0.120923913,0.08423913,0.13451087,736
