FIPS_STATE,Property_Perc,creditscore_Perc,lenderid_Perc,Amortization_Perc
01,0.01,0.01,0.01,0.01
02,0.00,0.00,0.00,0.00
04,0.03,0.03,0.03,0.03
05,0.01,0.01,0.01,0.01
06,0.19,0.19,0.19,0.19
08,0.03,0.03,0.03,0.03
09,0.02,0.02,0.02,0.02
10,0.01,0.01,0.01,0.01
11,0.01,0.01,0.01,0.01
12,0.10,0.10,0.10,0.10
13,0.02,0.02,0.02,0.02
15,0.00,0.00,0.00,0.00
16,0.00,0.00,0.00,0.00
17,0.02,0.02,0.02,0.02
18,0.02,0.02,0.02,0.02
19,0.00,0.00,0.00,0.00
20,0.01,0.01,0.01,0.01
21,0.01,0.01,0.01,0.01
22,0.01,0.01,0.01,0.01
23,0.01,0.01,0.01,0.01
24,0.03,0.03,0.03,0.03
25,0.03,0.03,0.03,0.03
26,0.03,0.03,0.03,0.03
27,0.01,0.01,0.01,0.01
28,0.00,0.00,0.00,0.00
29,0.01,0.01,0.01,0.01
30,0.00,0.00,0.00,0.00
31,0.00,0.00,0.00,0.00
32,0.02,0.02,0.02,0.02
33,0.00,0.00,0.00,0.00
34,0.02,0.02,0.02,0.02
35,0.01,0.01,0.01,0.01
36,0.03,0.03,0.03,0.03
37,0.04,0.04,0.04,0.04
38,0.00,0.00,0.00,0.00
39,0.03,0.03,0.03,0.03
40,0.00,0.00,0.00,0.00
41,0.02,0.02,0.02,0.02
42,0.04,0.04,0.04,0.04
44,0.01,0.01,0.01,0.01
45,0.01,0.01,0.01,0.01
46,0.00,0.00,0.00,0.00
47,0.01,0.01,0.01,0.01
48,0.09,0.09,0.09,0.09
49,0.01,0.01,0.01,0.01
50,0.00,0.00,0.00,0.00
51,0.02,0.02,0.02,0.02
53,0.02,0.02,0.02,0.02
54,0.00,0.00,0.00,0.00
55,0.01,0.01,0.01,0.01
56,0.00,0.00,0.00,0.00
72,0.00,0.00,0.00,0.00
